Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,5.000000,5.000000,5.000000,5.000000,4.158475,3900
2002-07-02,5.166667,5.500000,5.000000,5.043333,4.194514,21000
2002-07-03,4.666667,5.333333,4.666667,5.000000,4.158475,30600
2002-07-05,5.000000,5.000000,5.000000,5.000000,4.158475,1500
2002-07-08,4.666667,4.666667,4.666667,4.666667,3.881243,900
2002-07-09,4.666667,5.166667,4.666667,5.166667,4.297089,6900
2002-07-10,4.583333,5.166667,4.583333,5.166667,4.297089,1500
2002-07-11,5.166667,5.166667,5.166667,5.166667,4.297089,0
2002-07-12,5.000000,5.000000,5.000000,5.000000,4.158475,300
2002-07-15,4.916667,4.916667,4.166667,4.250000,3.534704,128100
2002-07-16,4.250000,4.250000,4.166667,4.166667,3.465395,17700
2002-07-17,4.166667,4.166667,4.083333,4.166667,3.465395,7200
2002-07-18,4.100000,4.100000,3.916667,3.916667,3.257472,4200
2002-07-19,3.866667,3.866667,3.350000,3.500000,2.910933,32100
2002-07-22,3.500000,3.500000,3.333333,3.400000,2.827762,13800
2002-07-23,3.400000,3.400000,3.400000,3.400000,2.827762,300
2002-07-24,3.400000,3.500000,3.400000,3.500000,2.910933,6600
2002-07-25,3.500000,3.500000,3.383333,3.383333,2.813901,3900
2002-07-26,3.383333,3.383333,3.383333,3.383333,2.813901,0
2002-07-29,3.500000,3.700000,3.483333,3.700000,3.077271,12300
2002-07-30,3.750000,3.950000,3.750000,3.833333,3.188164,26700
2002-07-31,3.966667,4.000000,3.916667,4.000000,3.326780,15000
2002-08-01,3.933333,3.966667,3.933333,3.933333,3.271334,12900
2002-08-02,3.933333,3.933333,3.933333,3.933333,3.271334,0
2002-08-05,3.966667,4.000000,3.950000,3.950000,3.285195,85800
2002-08-06,4.000000,4.000000,4.000000,4.000000,3.326780,30000
2002-08-07,3.993333,4.016667,3.983333,4.016667,3.340641,13200
2002-08-08,4.033333,4.033333,4.016667,4.033333,3.354502,36900
2002-08-09,4.050000,4.050000,4.050000,4.050000,3.368364,10200
2002-08-12,4.050000,4.050000,4.033333,4.050000,3.368364,73200
2002-08-13,4.066667,4.066667,4.033333,4.066667,3.382226,11700
2002-08-14,4.050000,4.066667,4.050000,4.066667,3.382226,11100
2002-08-15,4.050000,4.050000,4.033333,4.033333,3.354502,2100
2002-08-16,4.000000,4.050000,4.000000,4.050000,3.368364,25800
2002-08-19,4.050000,4.050000,3.883333,3.883333,3.229748,26100
2002-08-20,3.866667,3.866667,3.866667,3.866667,3.215888,300
2002-08-21,3.966667,4.000000,3.916667,3.916667,3.257472,49200
2002-08-22,3.916667,3.916667,3.666667,3.666667,3.049548,106500
2002-08-23,3.666667,3.700000,3.666667,3.700000,3.077271,11100
2002-08-26,3.666667,3.666667,3.616667,3.623333,3.013507,35700
2002-08-27,3.616667,3.666667,3.503333,3.503333,2.913704,71700
2002-08-28,3.500000,3.500000,3.333333,3.366667,2.800040,74100
2002-08-29,3.400000,3.400000,3.366667,3.400000,2.827762,25500
2002-08-30,3.433333,3.433333,3.333333,3.333333,2.772316,12600
2002-09-03,3.316667,3.333333,3.100000,3.300000,2.744594,24000
2002-09-04,3.116667,3.166667,2.966667,3.100000,2.578254,267300
2002-09-05,3.100000,3.100000,3.100000,3.100000,2.578254,9300
